ESG REPORT ANALYSIS: apple
============================================================

# ESG Analysis: apple

## Pages 1-50

# Analysis of Apple's 2025 Environmental Progress Report (Pages 1-50)

---

## 1. QUANTIFIABLE DATA

### Greenhouse Gas Emissions

| Metric | Value + Unit | Year/Period | Context |
| Direct ownership | ~8% of Apple-created | 2024 | Solar, biogas fuel cells, low-impact hydro |
| Equity investment | ~4% of Apple-created | 2024 | Solar PV and wind projects |
| Utility green energy programs | ~4% of total corporate load | 2024 | Direct purchase from utility programs |
| Colocation/distribution vendor renewable energy | ~3% of total corporate load | 2024 | Vendor-supplied renewable energy |
| RECs purchased | ~4% of total corporate load | 2024 | Renewable energy certificates |
| Supplier energy efficiency — electricity savings | >2.5 billion kilowatt-hours | 2024 | From >80 supplier facilities |
| Supplier energy efficiency — additional energy savings | >2.3 MMBtu | 2024 | Non-electricity energy savings |
| Supplier energy efficiency — avoided emissions | ~2 million metric tons CO2e | 2024 | 13% increase since 2023 |
| Supplier energy efficiency — participants | >80 supplier facilities | 2024 | In Supplier Energy Efficiency Program |
| Corporate electricity savings (2024 initiatives) | >57 million kilowatt-hours | 2024 | Including server efficiencies |
| Corporate natural gas savings (2024 initiatives) | >314,000 therms | 2024 | Building adjustments |
| Building area impacted by efficiency initiatives | 4.7 million square feet | 2024 | New and existing buildings |
| Annual CO2e avoided from 2024 efficiency initiatives | 18,000 metric tons CO2e/year | 2024 | From recent initiatives alone |
| Total corporate energy savings (cumulative + current) | >93,000 metric tons CO2e | 2024 | Including legacy savings |
| Data center server design energy savings | 36 million kilowatt-hours/year | Deployed 2021, ongoing | Proprietary server design |
| Mac mini energy efficiency vs. ENERGY STAR | 79% less energy than required | 2024 | ENERGY STAR comparison |
| China Clean Energy Fund — total investment | >1 gigawatt | Through 2024 | First fund; second fund launched 2025 |
| Direct investment — upstream renewables | ~500 megawatts | To date | Solar and wind in China and Japan |
| Clean Energy Academy participants | ~300 supplier facilities | 2024 | In China and Taiwan |
| Supplier renewable procurement — RECs | 59% | 2024 | Share of supplier procurement mechanisms |
| Supplier renewable procurement — PPAs | 36% | 2024 | Share of supplier procurement mechanisms |
| Supplier renewable procurement — Direct investment | 4% | 2024 | Share of supplier procurement mechanisms |
| Supplier renewable procurement — Onsite | 1% | 2024 | Share of supplier procurement mechanisms |
| Supplier renewable technologies — Solar | 49% | 2024 | Share of supplier renewable technologies |
| Supplier renewable technologies — Wind | 48% | 2024 | Share of supplier renewable technologies |
| Supplier renewable technologies — Other | 3% | 2024 | Biomass, geothermal, small-scale hydro |
| Ocean vs. air shipping emissions difference | 95% lower | 2024 | Ocean shipping relative to air |
| Mac mini non-air shipping | ≥50% by combined weight | Lifetime of product | Non-air modes like ocean shipping |
| Mac mini packaging volume reduction | >35% | 2024 | Compared with predecessor |
| iPhone 16/16 Plus packaging volume reduction | 8% | 2024 | Relative to iPhone 15/15 Plus |
| EV charging stations at U.S. campuses | 2,104 stations, 4,020 ports | 2024 | For employee EV incentive |
| Power for Impact projects | 17 projects | 2024 | In various countries worldwide |

### Materials and Recycled Content

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Total recycled/renewable content by weight in products | 24% | 2024 | Of all materials shipped in Apple products |
| Mac mini recycled content | >50% by weight | 2024 | First carbon neutral Mac |
| Recycled tungsten in products | ~99% | 2024 | Across all product lines |
| Recycled aluminum in products | ~71% | 2024 | Of aluminum shipped to customers |
| Recycled lithium in products | ~53% | 2024 | Up from 24% in 2023 |
| Recycled gold in products | ~40% | 2024 | Up from 1% in 2021 |
| Recycled cobalt in products | 76% | 2024 | Up from 52% in 2023 |
| Recycled rare earth elements (total in products) | >80% | 2024 | Up from 75% in 2023 |
| Recycled rare earth elements in all magnets | 99% | 2024 | Across all product magnets |
| Recycled tin (average across product lines) | >45% | 2024 | Up from 40% in 2023 |
| Recycled cobalt target (2025) | 100% | End of 2025 | In all Apple-designed batteries |
| Recycled tin target (2025) | 100% | End of 2025 | Soldering in all Apple-designed PCBs |
| Recycled gold target (2025) | 100% | End of 2025 | Plating in all Apple-designed PCBs |
| Recycled rare earth elements target (2025) | 100% | End of 2025 | All magnets across all products |
| Progress: recycled cobalt (vs. target) | 99% toward 100% | 2024 | In select components |
| Progress: recycled tin (vs. target) | 99% toward 100% | 2024 | In select components |
| Progress: recycled gold (vs. target) | 99% toward 100% | 2024 | In select components |
| Progress: recycled rare earth elements (vs. target) | 99% toward 100% | 2024 | In select components |
| iPhone 16 battery — recycled lithium | >95% | 2024 | First for Apple |
| iPhone 16/16e/16 Plus — recycled aluminum in enclosure | 85% | 2024 | Increased from prior models |
| Apple Watch Series 10 — recycled titanium in case | 95% | 2024 | Titanium case component |
| Apple Watch Series 10 — recycled steel | 80% | 2024 | Speaker attachment and Taptic Engine |
| iPhone 16/16 Plus — recycled plastic components | ≥50% recycled plastic in 20 components | 2024 | Including 25% recycled plastic antenna lines from upcycled bottles |
| Priority materials as % of total product mass | 87% | 2024 | 15 priority materials |
| Number of priority materials | 15 | 2024 | Al, Co, Cu, glass, Au, Li, paper, plastics, REE, steel, Ta, Sn, Ti, W, Zn |
| Recycled gold connectors | 99% of custom and standard connectors use 100% recycled gold plating | As of April 2025 | Enabling industry use |
| Gold recycled content doubling (suppliers) | Doubled number of qualified suppliers | 2024 | For USB-C connectors with recycled gold |
| 3TG, cobalt, lithium smelters/refiners audited | 100% | 2024 | Third-party audits completed |

### Packaging

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Plastic in packaging | ~1% | 2024 | Down from 21% in 2015 |
| Plastic reduction in packaging | ~20 percentage point reduction | 2015-2024 | In plastic packaging content |
| Recycled fiber in packaging | 60% | 2024 | Up from 39% in 2015 |
| Responsibly sourced virgin fiber | 31% → 48% | 2015 → 2024 | Approximate shift (note: these are of remaining non-recycled) — actually reported as fiber+plastic composition |
| Fiber-based packaging target | 100% by end of 2025 | End of CY2025 | Remove all plastics from packaging |
| Fiber-based packaging progress | 99% | 2024 | Toward 100% target |
| Vendor count transitioning to fiber-based packaging | >70 vendors, ~1,600 accessories/peripherals | 2024-2025 | Second- and third-party vendors |
| Vendor progress on fiber transition | ~90% on track | By June 2025 | Several already completed |
| Apple Watch Series 10 packaging volume reduction vs. Series 9 | ~10% | 2024 | Smaller, more efficient |
| Apple Watch Series 10 packaging volume reduction vs. Series 8 | >30% | 2024 | Compared with two generations prior |
| Pallet efficiency increase (AW Series 10 vs. Series 8) | 42% more boxes per pallet | 2024 | Shipping efficiency |
| Corporate facilities fiber use | 1,700 metric tons | FY2024 | Fiber used at corporate facilities |

### Carbon Removal / Offsets

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Trees planted (Restore Fund Brazil) | >8 million trees | Through 2024 | Across >24,000 hectares |
| Project Alpha site area | 24,119 hectares (~4x Manhattan) | Since 2022 | Brazilian reforestation project |
| Trees planted (Project Alpha total) | ~15 million | Since 2022 | In Minas Gerais, Mato Grosso, Mato Grosso do Sul |
| Projected carbon offset (Project Alpha) | >8.5 million tons CO2e | Within 15 years | Projected over project lifetime |
| Habitat corridor created | 5 kilometers | 2024 | Connecting restored forest with neighboring reserve |
| Contiguous forest cover | >10,000 hectares | 2024 | From corridor connection |
| Riparian buffers | 400 meters | 2024 | Surrounding Project Alpha site |
| Species in wildlife habitats | 385 species, including 9 threatened | 2024 | Protected by riparian buffers |
| Employees at Project Alpha | 213 full-time | 2024 | Up from 9 in 2022 |
| Restore Fund target (each fund) | 1 million metric tons CO2 removal annually at peak | Ongoing | Both first and second funds |

### Green Bonds

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Total green bonds issued | $4.7 billion | Cumulative | Across all issuances |
| 2019 green bond — projects supported | 74 global projects | 2019 bond | Most recent offering |
| 2019 green bond — CO2e mitigated/offset | 33.4 million metric tons CO2e | 2019 bond | Estimated lifetime impact |

### Water

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Corporate water use (total) | ~1.8 billion gallons (1,756 Mgal) | 2024 | 9% increase from 2023 |
| Freshwater share of corporate use | 87% | 2024 | Primarily municipal sources |
| Recycled water share of corporate use | 11% | 2024 | Municipal treatment plants, onsite treatment |
| Other alternative water sources | 2% | 2024 | Rainwater, condensate |
| Corporate water in high-stress areas | 70% | 2024 | Of corporate water use |
| Freshwater saved (corporate efficiency) | 96 million gallons | 2024 | Site efficiency and conservation |
| Low-water design freshwater avoided | 161 million

---

## Pages 51-100

# ANALYSIS OF APPLE ESG REPORT (PAGES 51-100)

---

## 1. QUANTIFIABLE DATA

### Water Replenishment & Nature-Based Solutions

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Freshwater replenishment target (high-stress locations) | 100% | By 2030 | Corporate freshwater withdrawals goal |
| Contracts in place for replenishment | Over 40% | End of FY2024 | Of expected replenishment need |
| Invasive species removal water benefits | 13 million gallons | 2024 | Southern California, Arundo donax removal |
| Lifetime water benefits from invasive species removal | 350 million gallons | Lifetime of agreements | Southern California agreements |
| Drinking water provided in India | 40 million gallons | Over past two years (2023-2024) | Partnership with Uptime Catalyst Facility |
| India water replenishment target achieved | 100% | 2023 | Corporate operations in India |
| Forest restoration acres contracted/undergoing restoration | 12,000 acres of 30,000 total | 2024 | Salt River Project, Arizona |
| Forest restoration agreement duration | 20 years | Ongoing | Salt River Project, Arizona |
| Forest restoration water benefits (2024) | 4 million gallons | 2024 | Arizona restoration |
| Forest restoration expected lifetime water benefits | 1.8 billion gallons | Over next 20 years | Arizona restoration |
| Floodplain restoration acreage | ~1,600 acres | Ongoing | Dos Rios Norte property, Northern California |
| Floodplain expected water benefits | 4.9 billion gallons | Expected to begin 2028 | Dos Rios Norte |
| Northern Nevada water benefits (2024) | 70 million gallons | 2024 | Truckee River Basin |
| Northern Nevada expected total water benefits | 468 million gallons | Through 2030 | Truckee River Basin |
| Estimated homeless population served (Reno) | 2,000 people | Current | WASH project in Reno |
| Verde River expected water benefits | 3 billion gallons total | Starting 2025 | Colorado River Basin, Arizona |
| Groundwater recharge/bird habitat water benefits | 58 million gallons | 2024 | Northern California |
| Additional land for shorebird habitat | 200,000 acres | Projected | Central Valley, tomato field trials |
| Chesapeake Bay total water benefits | 266 million gallons | Total (starting 2025) | Ducks Unlimited partnership |
| Tanzania village water supply total benefits | 21-42 million gallons | Total over time | Bugogo village, Shinyanga Region |
| Subvillage tapstands in Tanzania | 12 tapstands | 2024 | Solar-powered water system |
| Students provided clean water in Vietnam | 38,000+ students | 2024 | Hòa Bình province, Gravity Water grant |

### Zero Waste

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| TRUE-certified data centers | 5 | As of 2024 | Zero waste certification |
| TRUE-certified corporate facilities | 2 | As of 2024 | Zero waste certification |
| Supplier facility waste diverted from landfill (cumulative) | ~3.6 million metric tons | Since program inception | Zero Waste Program |
| Zero Waste to Landfill supplier facilities recognized by UL | 230+ | 2024 | In 10 countries and regions |
| Corporate waste diversion rate | 70% | 2024 | Recycling and composting |
| Target waste diversion rate | 100% | Target (no deadline stated) | Corporate facilities |
| Landfill waste from global operations | ~18,700 metric tons | 2024 | Corporate operations |
| Construction/demolition waste diversion rate | 81% | 2024 | Corporate office and data center construction |
| Construction/demolition waste diverted | 22,500+ metric tons | 2024 | Construction projects |
| Specialty recycling materials diverted | 840+ metric tons | 2024 | Office furniture, electronics, doors, trees, etc. |
| Ceiling tile diverted | 60+ metric tons | 2024 | Specialty recycling |
| Carpeting diverted | 105 metric tons | 2024 | Specialty recycling |
| Earth Day volunteers | 180 volunteers | 2024 | Across 8 campuses |
| Supplier facilities in Zero Waste Program | 480+ | Current | Across 15 countries and regions |
| Supplier production facilities required to report waste | 1,000+ | Current | Annual waste inventory reporting |
| Supplier waste diverted from landfills (2024) | ~600,000 metric tons | 2024 | Annual supplier diversion |
| Cumulative supplier waste diverted | 3.6 million metric tons | Since inception | Equivalent to 4.5M sq meters landfill |
| Final assembly sites maintaining zero waste | 100% | 2024 | Established final assembly sites |
| Module suppliers in Zero Waste Program | 400+ | Since inception | Subassembly module suppliers |
| Module supplier waste diverted | ~350,000 metric tons | Since inception | From landfills |
| Plastic films diverted | ~22,000 metric tons | 2018-2024 | Recyclable protective films |
| Plastic trays reused | ~33,000 metric tons | 2018-2024 | External reuse across supply chain |
| In-process RPF reduction for iPhone | 35%+ | Current | Protective film reduction |
| Coolant-containing waste reduced | 36,000+ metric tons | 2024 | Through filtration and sterilization |
| Metals recovered from PCB manufacturing waste | ~1,800 metric tons | 2024 | Copper, gold, palladium recovery |
| UL-assured facilities increase | 45 more than previous year | 2024 | Now 230+ total |
| Suppliers receiving zero-waste/carbon awards | 6 | 2024 | Awards from local governments/associations |
| Supplier employees completing online learning (India) | 1,250+ employees at 12 suppliers | 2024 | Community-based courses |
| Workshop participants (India) | 640+ participants | 2024 | 7 hands-on workshops |
| Workshop participants (China) | ~500 participants | 2024 | Zhejiang University |
| Workshop attendees (Japan) | 67 representatives from 24 suppliers | 2024 | Tokyo workshop |

### Green Buildings

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Apple Miami Worldcenter energy use reduction | Over 40% | January 2025 | Compared to baseline |
| Apple Miami Worldcenter emissions reduction in construction | 60% | 2025 | Compared to industry baselines |
| Apple Miami Worldcenter renewable energy | 100% | 2025 | Store operations |
| LEED Platinum certifications (2024) | 1 site | 2024 | France |
| LEED Gold certifications (2024) | 4 sites | 2024 | 2 California, 1 Barcelona, 1 India |
| Bengaluru building size | 400,000 sq ft | 2024 | LEED Platinum office/research space |
| Bengaluru renewable energy | 100% | 2024 | Onsite wastewater treatment included |

### Smarter Chemistry

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| CSD supplier facilities sharing data | 1,000+ | 2024 | Chemical use/management/safety data |
| iPad Air chemical information collected by mass | 95%+ | 2024 | FMD program |
| Materials in comprehensive library | 80,000 | As of 2024 | Supplier assessment library |
| Average product chemical information by mass (iPhone, iPad, Mac 2024 releases) | 93% | 2024 | FMD program |
| Unique materials/chemicals identified through CSD | 16,000+ | Cumulative | Manufacturing process chemicals |
| Toxicological assessments on new materials | 1,800+ | 2024 | Proactive evaluation |
| New safer cleaners approved (FY2024) | 67 | FY2024 | Additional safer cleaners |
| Total safer cleaners approved | 200+ | Over past 3 years | For Apple supply chain use |
| EPA Safer Choice Partner of the Year Awards | 4 times in 5 years | Through 2024 | Recognition of safer cleaner work |
| VOC training participants | 480+ | 2024 | China supplier training |
| Materials validated for low-VOC compliance | 3,900+ | 2024 | Through supplier validation |
| PFOA removal from products | Completed | 2010 | Ahead of global requirements |
| PFOS removal from products | Completed | 2013 | Ahead of global requirements |
| Toxic-Free Future Retailer Report Card ranking | #1 (Grade A) | 2024 | Only company to receive an A |
| FMD program duration | 8 years | Since ~2016 | Ongoing chemical mapping |
| RSS publication history | 20+ years | Since early 2000s | Regulated Substances Specification |
| GreenScreen assessment criteria | 18 criteria | Current | Health/environment impact methodology |

### Engagement & Advocacy

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Grants funded | 30+ | As of 2024 | Across 25+ countries |
| Chyulu Hills grasslands restored | 11,000 hectares | Recent | Kenya, with CI |
| Chyulu Hills projected restoration | 20,000 hectares | By 2027 | Kenya projection |
| Chyulu Hills project area | 410,000 hectares (1 million acres) | Ongoing | REDD+ carbon credit project |
| Chyulu Hills annual GHG prevention | 580,000 metric tons CO2e/year | Annual average | Carbon credit project |
| Chyulu Hills lifetime GHG prevention | ~18 million metric tons CO2e | 30-year span | Equivalent to 4M+ gas cars off road for 1 year |
| Household survey coverage | 40%+ of households | Over 16 months | Frontiers in Environmental Science study |
| IPC-1402 standard collaborators | 20+ industry partners | 2023 | Green Cleaners for Electronics Manufacturing |

### Greenhouse Gas Emissions (Data Section)

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Total gross carbon footprint | 15,300,000 metric tons CO2e | FY2024 | Without offsets |
| Total net carbon footprint | 14,500,000 metric tons CO2e | FY2024 | After applying offsets |
| Corporate gross emissions | 666,800 metric tons CO2e | FY2024 | Scope 1+2+3 corporate |
| Scope 1 emissions | 55,200 metric tons CO2e | FY2024 | Natural gas, fleet, other |
| Scope 2 (market-based) | 3,300 metric tons CO2e | FY2024 | Steam, heating, cooling |
| Scope 3 corporate | 608,300 metric tons CO2e | FY2024 | Travel, commute, etc. |
| Business travel emissions | 284,500 metric tons CO2e | FY2024 | Scope 3 |
| Employee commute emissions | 152,700 metric tons CO2e | FY2024 | Scope 3 |
| Other fuel/energy-related activities | 166,400 metric tons CO2e | FY2024 | Scope 3 |
| Work from home emissions | 4,700 metric tons CO2e | FY2024 | Market-based |
| Corporate carbon credits retired | 666,800 metric tons CO2e | FY2024 | To maintain carbon neutrality |
| Product life cycle gross emissions (Scope 3) | 14,500,000 metric tons CO2e | FY2024 | Manufacturing, transport, use, end-of-life |
| Manufacturing emissions | 8,200,000 metric tons CO2e | FY2024 | Purchased goods and services |
| Product transportation emissions | 1,950,000 metric tons CO2e | FY2024 | Upstream and downstream |
| Product use emissions | 4,400,000 metric tons CO2e | FY2024 | Use of sold products |
| End-of-life processing emissions | 70,000 metric tons CO2e | FY2024 | Product end-of-life |
| Product carbon credits | 70,300 metric tons CO2e | FY2024 | Applied to product footprint |

### Carbon Credits (Detailed)

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Chyulu Hills credits retired | 385,000 metric tons CO2e | Vintage 2020 | Kenya REDD+ project |
| Guinan credits retired | 100,500 metric tons CO2e | Vintage 2019 | Guizhou Province, China afforestation |
| Guyana REDD+ credits retired | 100,000 metric tons CO2e | Vintage 2019 | National-scale REDD+ |
| Arbaro Forestal San Pedro credits retired | 78,507 metric tons CO2e | Vintage 2019-2022 | Paraguay afforestation |
| AF Forestal Apepu Expansion credits retired | 73,093 metric tons CO2e | Vintage 2021 | Paraguay reforestation |
| Forestal Apepu property size | 2,658 hectares | 2019 | Eastern Paraguay |
| Forestal San Pedro target area | 8,000 hectares | Ongoing | Eastern Paraguay |
| Guyana TREES credits issued | 33.47 million | 2016-2020 | 5-year period |
| Guyana forest coverage | 18 million hectares (~85% of landmass) | Current | National program |

### Product Carbon Footprints (Selected)

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| iPhone 16 (128GB) | 56 kg CO2e | 2024 | Per unit |
| iPhone 16 Pro Max (256GB) | 74 kg CO2e | 2024 | Per unit |
| iPhone 16e (128GB) | 48 kg CO2e | 2024 | Per unit |
| iPad Pro 13-inch M4 (256GB) Wi-Fi+Cellular | 107 kg CO2e | 2024 | Per unit |
| 16-inch MacBook Pro M4 Max (1TB) | 303 kg CO2e | 2024 | Per unit |
| 13-inch MacBook Air M4 (256GB) | 120 kg CO2e | 2025 | Per unit |
| Mac mini M4 (256GB) carbon neutral | 32 kg CO2e | 2024 | After credits |
| Mac Pro (2023, 1TB) | 1,572 kg CO2e | 2023 | Per unit |
| Apple Vision Pro | 335 kg CO2e | 2024 | Per unit |
| Studio Display | 544 kg CO2e | 2022 | Per unit |
| Pro Display XDR with Pro Stand | 974 kg CO2e | Current | Per unit |

### Energy Data

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Total corporate electricity | 3,777,000 MWh | FY2024 | All facilities |
| U.S. electricity | 3,000,000 MWh | FY2024 | U.S. facilities |
| International electricity | 777,000 MWh | FY2024 | Non-U.S. facilities |
| Total fuel consumption | 591,770 MWh | FY2024 | All fuel types |
| Natural gas | 307,390 MWh | FY2024 | Fuel |
| Biogas | 183,330 MWh | FY2024 | Fuel |
| Renewable electricity used (corporate) | 3,777,000 MWh (100%) | F

---

## Pages 101-126



# ANALYSIS OF APPLE ESG REPORT (Pages 101-126)

---

## 1. QUANTIFIABLE DATA

### Data Center Energy & Emissions

| Metric | Value | Year/Period | Context |
|--------|-------|-------------|---------|
| Fort Churchill Solar project capacity | ~20 MW | 2013 | Reno, NV solar project with NV Energy |
| Boulder Solar II project capacity | 50 MW | Online 2017 | Second Nevada solar project via NV GreenEnergy Rider |
| Techren II solar project capacity | 200 MW | Online 2019 | Nevada solar project via NV GreenEnergy Rider |
| Turquoise Project capacity | 50 MW | Online 2020 | Nevada solar project via NV GreenEnergy Rider |
| Reno data center electricity use | 454 million kWh | 2024 | Reno, Nevada data center |
| Reno data center emissions avoided | 155,400 MT CO2e | 2024 | Market-based emissions avoided |
| Reno default grid mix – Gas | 54% | 2024 | eGRID 2022 source |
| Reno default grid mix – Renewable | 35% | 2024 | eGRID 2022 source |
| Reno default grid mix – Coal | 6% | 2024 | eGRID 2022 source |
| Reno default grid mix – Nuclear | 5% | 2024 | eGRID 2022 source |
| Reno Apple renewable allocation | 100% | 2024 | Apple's solar projects |
| Denmark Northern Jutland PV project capacity | 42 MW | Commercial operation late 2019 | One of Denmark's largest solar plants |
| Denmark wind project capacity | 17 MW | Online late 2020 | Second Danish renewable project |
| Denmark data center electricity use | 59 million kWh | 2024 | Denmark data center |
| Denmark data center emissions avoided | 34,500 MT CO2e | 2024 | Market-based emissions avoided |
| Denmark default grid mix – Renewable | 89% | 2024 | Energinet source |
| Denmark default grid mix – Coal | 7% | 2024 | Energinet source |
| Denmark default grid mix – Gas | 4% | 2024 | Energinet source |
| Denmark Apple renewable allocation | 100% | 2024 | Wind and solar projects |
| China data center electricity use | 214 million kWh | 2024 | Two data centers in China |
| China data center emissions avoided | 126,800 MT CO2e | 2024 | Market-based emissions avoided |
| China default grid mix – Coal | 63% | 2024 | IEA source |
| China default grid mix – Hydro | 17% | 2024 | IEA source |
| China default grid mix – Renewable | 11% | 2024 | IEA source |
| China default grid mix – Nuclear | 5% | 2024 | IEA source |
| China default grid mix – Gas | 3% | 2024 | IEA source |
| China Apple renewable allocation – Solar | 50% | 2024 | Apple's solar projects |
| China Apple renewable allocation – Wind | 50% | 2024 | Apple's wind projects |

### Colocation Facilities – Time Series Data

| Metric | FY | Value | Unit |
|--------|----|-------|------|
| Total energy use | FY2012 | 38,552,300 | kWh |
| Renewable energy | FY2012 | 1,471,680 | kWh |
| Default utility emissions | FY2012 | 17,200 | MT CO2e |
| Apple's emissions (incl. RE) | FY2012 | 16,500 | MT CO2e |
| Percent renewable | FY2012 | 0 | % |
| Total energy use | FY2013 | 79,462,900 | kWh |
| Renewable energy | FY2013 | 46,966,900 | kWh |
| Default utility emissions | FY2013 | 31,800 | MT CO2e |
| Apple's emissions (incl. RE) | FY2013 | 14,500 | MT CO2e |
| Percent renewable | FY2013 | 59 | % |
| Total energy use | FY2014 | 108,659,700 | kWh |
| Renewable energy | FY2014 | 88,553,400 | kWh |
| Default utility emissions | FY2014 | 44,300 | MT CO2e |
| Apple's emissions (incl. RE) | FY2014 | 11,000 | MT CO2e |
| Percent renewable | FY2014 | 81 | % |
| Total energy use | FY2015 | 142,615,000 | kWh |
| Renewable energy | FY2015 | 121,086,100 | kWh |
| Default utility emissions | FY2015 | 60,500 | MT CO2e |
| Apple's emissions (incl. RE) | FY2015 | 12,700 | MT CO2e |
| Percent renewable | FY2015 | 85 | % |
| Total energy use | FY2016 | 145,520,900 | kWh |
| Renewable energy | FY2016 | 143,083,200 | kWh |
| Default utility emissions | FY2016 | 66,300 | MT CO2e |
| Apple's emissions (incl. RE) | FY2016 | 1,600 | MT CO2e |
| Percent renewable | FY2016 | 98 | % |
| Total energy use | FY2017 | 289,195,800 | kWh |
| Renewable energy | FY2017 | 286,378,100 | kWh |
| Default utility emissions | FY2017 | 125,600 | MT CO2e |
| Apple's emissions (incl. RE) | FY2017 | 1,500 | MT CO2e |
| Percent renewable | FY2017 | 99 | % |
| Total energy use | FY2018 | 327,663,800 | kWh |
| Renewable energy | FY2018 | 326,959,700 | kWh |
| Default utility emissions | FY2018 | 146,600 | MT CO2e |
| Apple's emissions (incl. RE) | FY2018 | 400 | MT CO2e |
| Percent renewable | FY2018 | 100 | % |
| Total energy use | FY2019 | 339,047,649 | kWh |
| Renewable energy | FY2019 | 339,047,649 | kWh |
| Default utility emissions | FY2019 | 146,400 | MT CO2e |
| Apple's emissions (incl. RE) | FY2019 | 0 | MT CO2e |
| Percent renewable | FY2019 | 100 | % |
| Total energy use | FY2020 | 372,901,398 | kWh |
| Renewable energy | FY2020 | 372,901,398 | kWh |
| Default utility emissions | FY2020 | 153,459 | MT CO2e |
